,Dado_predito
2018-06-01,408.92011494135096
2018-07-01,408.04599926961583
2018-08-01,406.40915374847606
2018-09-01,405.13734056434964
2018-10-01,405.3292357215644
2018-11-01,406.7310484730389
2018-12-01,408.1542486818279
2019-01-01,409.1053880953153
2019-02-01,409.7986555606818
2019-03-01,410.3465097700669
2019-04-01,410.7895266692767
2019-05-01,411.16687195679924
2019-06-01,411.1718827151407
2019-07-01,410.30580472067277
2019-08-01,408.663051360132
2019-09-01,407.37664911714853
2019-10-01,407.56266835323777
2019-11-01,408.9682017294919
2019-12-01,410.3995098002452
2020-01-01,411.3588888474793
2020-02-01,412.0577021848493
2020-03-01,412.6133666689295
2020-04-01,413.06450315125244
2020-05-01,413.44137876468324
2020-06-01,413.4435187842003
2020-07-01,412.5769268426937
2020-08-01,410.93455124260083
2020-09-01,409.6490818566291
2020-10-01,409.8354768122405
2020-11-01,411.24077228343526
2020-12-01,412.67156191938363
2021-01-01,413.6304141060306
2021-02-01,414.32887282795656
2021-03-01,414.88403790562666
2021-04-01,415.33465520366815
2021-05-01,415.7115608491095
2021-06-01,415.71388443007953
2021-07-01,414.8473253514946
2021-08-01,413.20492559655486
2021-09-01,411.919396561622
2021-10-01,412.1057674928878
2021-11-01,413.5110781762636
2021-12-01,414.9419009620914
2022-01-01,415.9007868373813
2022-02-01,416.59926823421085
2022-03-01,417.15446524504233
2022-04-01,417.60511574088656
2022-05-01,417.9820194660141
2022-06-01,417.98433130965475
2022-07-01,417.11777012974125
2022-08-01,415.4753719193164
2022-09-01,414.18984669847134
2022-10-01,414.3762191659075
2022-11-01,415.7815288765824
2022-12-01,417.2123495427329
2023-01-01,418.17123326389566
2023-02-01,418.8697132108412
2023-03-01,419.42490817979507
2023-04-01,419.87555655289765
2023-05-01,420.25246040081436
2023-06-01,420.25477299496606
2023-07-01,419.3882119494162
2023-08-01,417.7458136402316
2023-09-01,416.46028817550524
2023-10-01,416.64666054471525
2023-11-01,418.0519703175868
2023-12-01,419.4827911192741
2024-01-01,420.44167497817665
2024-02-01,421.1401550178311
2024-03-01,421.69535011734706
2024-04-01,422.14599862618246
2024-05-01,422.52290246624773
2024-06-01,422.52521501241006
2024-07-01,421.65865395826876
2024-08-01,420.01625565539905
2024-09-01,418.7307302062671
2024-10-01,418.9171025817579
2024-11-01,420.3224123506524
2024-12-01,421.7532331436733
2025-01-01,422.7121169937684
2025-02-01,423.41059702749476
2025-03-01,423.9657921186624
2025-04-01,424.41644061881874
2025-05-01,424.79334445938605
2025-06-01,424.79565700861696
2025-07-01,423.92909595502493
2025-08-01,422.28669765175147
2025-09-01,421.0011722016223
2025-10-01,421.1875445767115
2025-11-01,422.59285434586036
2025-12-01,424.0236751394354
2026-01-01,424.9825589900936
2026-02-01,425.68103902419904
2026-03-01,426.23623411590046
2026-04-01,426.68688261661174
2026-05-01,427.06378645714693
2026-06-01,427.0660990061816
2026-07-01,426.19953795255446
2026-08-01,424.5571396493068
2026-09-01,423.2716141992414
2026-10-01,423.4579865743563
2026-11-01,424.86329634348886
2026-12-01,426.29411713702837
2027-01-01,427.25300098765064
2027-02-01,427.95148102173187
2027-03-01,428.5066761133992
2027-04-01,428.95732461407493
2027-05-01,429.3342284546122
2027-06-01,429.3365410036595
2027-07-01,428.4699799500346
2027-08-01,426.8275816467853
2027-09-01,425.5420561967158
2027-10-01,425.728428571829
2027-11-01,427.13373834096257
2027-12-01,428.56455913450446
2028-01-01,429.52344298512907
2028-02-01,430.2219230192118
2028-03-01,430.7771181108812
2028-04-01,431.22776661155933
2028-05-01,431.6046704520965
2028-06-01,431.6069830011429
2028-07-01,430.74042194751786
2028-08-01,429.09802364426866
2028-09-01,427.81249819419946
2028-10-01,427.99887056931277
2028-11-01,429.40418033844634
2028-12-01,430.835001131988
2029-01-01,431.7938849826124
2029-02-01,432.49236501669503
2029-03-01,433.0475601083644
2029-04-01,433.49820860904225
2029-05-01,433.8751124495794
2029-06-01,433.8774249986259
2029-07-01,433.01086394500084
2029-08-01,431.36846564175164
2029-09-01,430.08294019168244
2029-10-01,430.26931256679575
2029-11-01,431.6746223359293
2029-12-01,433.105443129471
2030-01-01,434.0643269800954
2030-02-01,434.7628070141781
2030-03-01,435.3180021058474
2030-04-01,435.76865060652534
2030-05-01,436.1455544470625
2030-06-01,436.14786699610903
2030-07-01,435.281305942484
2030-08-01,433.6389076392348
2030-09-01,432.3533821891656
2030-10-01,432.5397545642789
2030-11-01,433.94506433341246
2030-12-01,435.37588512695413
2031-01-01,436.33476897757856
2031-02-01,437.0332490116612
2031-03-01,437.5884441033305
2031-04-01,438.0390926040085
2031-05-01,438.4159964445456
2031-06-01,438.4183089935921
2031-07-01,437.5517479399671
2031-08-01,435.9093496367179
2031-09-01,434.6238241866487
2031-10-01,434.810196561762
2031-11-01,436.21550633089555
2031-12-01,437.6463271244372
2032-01-01,438.60521097506165
2032-02-01,439.3036910091443
2032-03-01,439.8588861008136
2032-04-01,440.3095346014916
2032-05-01,440.6864384420287
2032-06-01,440.6887509910752
2032-07-01,439.82218993745016
2032-08-01,438.17979163420097
2032-09-01,436.89426618413177
2032-10-01,437.0806385592451
2032-11-01,438.48594832837864
2032-12-01,439.9167691219203
2033-01-01,440.87565297254474
2033-02-01,441.5741330066274
2033-03-01,442.1293280982967
2033-04-01,442.57997659897467
2033-05-01,442.9568804395118
2033-06-01,442.9591929885583
2033-07-01,442.09263193493325
2033-08-01,440.45023363168406
2033-09-01,439.16470818161486
2033-10-01,439.35108055672816
2033-11-01,440.75639032586173
2033-12-01,442.1872111194034
2034-01-01,443.14609497002783
2034-02-01,443.8445750041105
2034-03-01,444.3997700957798
2034-04-01,444.85041859645776
2034-05-01,445.2273224369949
2034-06-01,445.2296349860414
2034-07-01,444.36307393241634
2034-08-01,442.72067562916715
2034-09-01,441.43515017909795
2034-10-01,441.62152255421125
2034-11-01,443.0268323233448
2034-12-01,444.4576531168865
2035-01-01,445.4165369675109
2035-02-01,446.11501700159357
2035-03-01,446.6702120932629
2035-04-01,447.12086059394085
2035-05-01,447.497764434478
2035-06-01,447.5000769835245
2035-07-01,446.63351592989943
2035-08-01,444.99111762665024
2035-09-01,443.70559217658104
2035-10-01,443.89196455169434
2035-11-01,445.2972743208279
2035-12-01,446.7280951143696
2036-01-01,447.686978964994
2036-02-01,448.38545899907666
2036-03-01,448.94065409074597
2036-04-01,449.39130259142394
2036-05-01,449.76820643196106
2036-06-01,449.77051898100757
2036-07-01,448.9039579273825
2036-08-01,447.2615596241333
2036-09-01,445.9760341740641
2036-10-01,446.16240654917743
2036-11-01,447.567716318311
2036-12-01,448.99853711185267
2037-01-01,449.9574209624771
2037-02-01,450.65590099655975
2037-03-01,451.21109608822906
2037-04-01,451.661744588907
2037-05-01,452.03864842944415
2037-06-01,452.04096097849066
2037-07-01,451.1743999248656
2037-08-01,449.5320016216164
2037-09-01,448.2464761715472
2037-10-01,448.4328485466605
2037-11-01,449.8381583157941
2037-12-01,451.26897910933576
2038-01-01,452.2278629599602
2038-02-01,452.92634299404284
2038-03-01,453.48153808571215
2038-04-01,453.9321865863901
2038-05-01,454.30909042692724
2038-06-01,454.31140297597375
2038-07-01,453.4448419223487
2038-08-01,451.8024436190995
2038-09-01,450.5169181690303
2038-10-01,450.7032905441436
2038-11-01,452.1086003132772
2038-12-01,453.53942110681885
2039-01-01,454.4983049574433
2039-02-01,455.19678499152593
2039-03-01,455.75198008319524
2039-04-01,456.2026285838732
2039-05-01,456.57953242441033
2039-06-01,456.58184497345684
2039-07-01,455.7152839198318
2039-08-01,454.0728856165826
2039-09-01,452.7873601665134
2039-10-01,452.9737325416267
2039-11-01,454.37904231076027
2039-12-01,455.80986310430194
2040-01-01,456.76874695492637
2040-02-01,457.467226989009
2040-03-01,458.0224220806783
2040-04-01,458.4730705813563
2040-05-01,458.8499744218934
2040-06-01,458.85228697093993
2040-07-01,457.9857259173149
2040-08-01,456.3433276140657
2040-09-01,455.0578021639965
2040-10-01,455.2441745391098
2040-11-01,456.64948430824336
2040-12-01,458.08030510178503
2041-01-01,459.03918895240946
2041-02-01,459.7376689864921
2041-03-01,460.2928640781614
2041-04-01,460.7435125788394
2041-05-01,461.1204164193765
2041-06-01,461.122728968423
2041-07-01,460.25616791479797
2041-08-01,458.6137696115488
2041-09-01,457.3282441614796
2041-10-01,457.5146165365929
2041-11-01,458.91992630572645
2041-12-01,460.3507470992681
2042-01-01,461.30963094989255
2042-02-01,462.0081109839752
2042-03-01,462.5633060756445
2042-04-01,463.0139545763225
2042-05-01,463.3908584168596
2042-06-01,463.3931709659061
2042-07-01,462.52660991228106
2042-08-01,460.88421160903187
2042-09-01,459.59868615896266
2042-10-01,459.785058534076
2042-11-01,461.19036830320954
2042-12-01,462.6211890967512
2043-01-01,463.58007294737564
2043-02-01,464.2785529814583
2043-03-01,464.8337480731276
2043-04-01,465.28439657380557
2043-05-01,465.6613004143427
