Decimal_YR,East(m),North(m),Vert(m),East_sig(m),North_sig(m),Vert_sig(m),East_North_cor,East_Vert_cor,North_Vert_cor,Time in Seconds past J2000,YEAR,MM,DD,HR,MN,SS
1994.00136893,0.406297,-0.060092,-0.095491,0.000607,0.000745,0.002438,-0.061199,0.655654,-0.092806,-189302400.00,1994,1,1,12,0,0
1994.00410678,0.406630,-0.061849,-0.077834,0.000580,0.000709,0.002320,-0.056927,0.531604,-0.147903,-189216000.00,1994,1,2,12,0,0
1994.00684463,0.404685,-0.057140,-0.079315,0.000593,0.000748,0.002395,-0.071364,0.677538,-0.146513,-189129600.00,1994,1,3,12,0,0
1994.00958248,0.405055,-0.057250,-0.079108,0.000579,0.000738,0.002338,-0.047211,0.522650,-0.145903,-189043200.00,1994,1,4,12,0,0
1994.01232033,0.402787,-0.056953,-0.078041,0.000584,0.000720,0.002301,-0.022832,0.523171,-0.143802,-188956800.00,1994,1,5,12,0,0
1994.01505818,0.400785,-0.057683,-0.088461,0.000679,0.000898,0.002850,-0.020499,0.796915,-0.046320,-188870400.00,1994,1,6,12,0,0
1994.01779603,0.402098,-0.059925,-0.084072,0.000616,0.000791,0.002532,-0.013962,0.633388,-0.143615,-188784000.00,1994,1,7,12,0,0
1994.02053388,0.400493,-0.060051,-0.079554,0.000673,0.000808,0.002769,-0.083820,0.730113,-0.195880,-188697600.00,1994,1,8,12,0,0
1994.02327173,0.400699,-0.059161,-0.079209,0.000587,0.000737,0.002326,-0.032495,0.693659,-0.087606,-188611200.00,1994,1,9,12,0,0
1994.02600958,0.402741,-0.054154,-0.089106,0.000607,0.000722,0.002404,-0.053445,0.667755,-0.112336,-188524800.00,1994,1,10,12,0,0
1994.02874743,0.400776,-0.054907,-0.080415,0.000609,0.000740,0.002409,-0.025994,0.660727,-0.148015,-188438400.00,1994,1,11,12,0,0
1994.03148528,0.398517,-0.052949,-0.085512,0.000620,0.000808,0.002509,-0.022969,0.466683,-0.124011,-188352000.00,1994,1,12,12,0,0
1994.03422313,0.399233,-0.052303,-0.087128,0.000615,0.000741,0.002438,-0.049029,0.774527,-0.134789,-188265600.00,1994,1,13,12,0,0
1994.03696099,0.398631,-0.055510,-0.077928,0.000623,0.000828,0.002552,-0.060058,0.496548,-0.129803,-188179200.00,1994,1,14,12,0,0
1994.03969884,0.396405,-0.053887,-0.082549,0.000608,0.000750,0.002413,-0.052035,0.859975,-0.072909,-188092800.00,1994,1,15,12,0,0
1994.04243669,0.396637,-0.058329,-0.084249,0.000596,0.000735,0.002378,-0.031342,0.647348,-0.086388,-188006400.00,1994,1,16,12,0,0
1994.04517454,0.399022,-0.052427,-0.078347,0.000575,0.000720,0.002278,-0.036180,0.496750,-0.092604,-187920000.00,1994,1,17,12,0,0
1994.04791239,0.397938,-0.052395,-0.085587,0.000571,0.000712,0.002268,-0.059049,0.550489,-0.118636,-187833600.00,1994,1,18,12,0,0
1994.05065024,0.396030,-0.054074,-0.089084,0.000569,0.000710,0.002264,-0.060891,0.575744,-0.128210,-187747200.00,1994,1,19,12,0,0
1994.05338809,0.398466,-0.053405,-0.091189,0.000600,0.000750,0.002443,-0.050512,0.674465,-0.068559,-187660800.00,1994,1,20,12,0,0
1994.05612594,0.397296,-0.056363,-0.093234,0.000593,0.000742,0.002408,-0.066371,0.684525,-0.053535,-187574400.00,1994,1,21,12,0,0
1994.05886379,0.402031,-0.053990,-0.089638,0.000600,0.000769,0.002425,-0.069233,0.567229,-0.112066,-187488000.00,1994,1,22,12,0,0
1994.06160164,0.406507,-0.055222,-0.092125,0.000580,0.000746,0.002349,-0.072831,0.556539,-0.089455,-187401600.00,1994,1,23,12,0,0
1994.06433949,0.405461,-0.054930,-0.083520,0.000588,0.000725,0.002353,-0.054665,0.525186,-0.082112,-187315200.00,1994,1,24,12,0,0
1994.06707734,0.404982,-0.052912,-0.090250,0.000585,0.000721,0.002335,-0.059969,0.571885,-0.064223,-187228800.00,1994,1,25,12,0,0
